c,l,Persian,Persian2,Problem/Question,English,MYD answer,MG answer
http://www.snik.eu/ontology/bb/DepartmentalSystemAdministrator,Departmental System Administrator,مدیر بخشی سیستم,,,,,
http://www.snik.eu/ontology/bb/IntegratedCareNetwork,Integrated Care Network,شبکه مراقبت جامع,,,,,
http://www.snik.eu/ontology/bb/PatientChartSystem,(Patienten-)Kurve|Patient Chart System,سیستم نمودار بیمار,,,,,
http://www.snik.eu/ontology/bb/NonComputerBasedInformationProcessingTool,Non-Computer-Based Information Processing Tool,ابزار پردازش اطلاعات غیر مبتنی بر کامپیوتر,,,,,
http://www.snik.eu/ontology/bb/FlexiblePhysicalDataProcessingSystem,flexible physical data processing system,سیستم پردازش اطلاعات فیزیکی انعطاف پذیر,,,,,
http://www.snik.eu/ontology/bb/Teleradiology,Teleradiology,تله رادیولوژی,,,,,
http://www.snik.eu/ontology/bb/StandardizationOfData,Standardization of Data,استاندارد سازی داده ها,,,,,
http://www.snik.eu/ontology/bb/MonitoringOfStandardizationAndCertificationOrganizations,Monitoring of Standardization and Certification Organizations,نظارت بر سازمان های استاندارد سازی و صدور گواهینامه,,,,,
http://www.snik.eu/ontology/bb/UpToDateInformation,Up To Date Information,اطلاعات تا به تاریخ,,,,,اطلاعات بروز رسانی شده
http://www.snik.eu/ontology/bb/PresentationIntegration,Presentation Integration|PrÃ¤sentationsintegration,ادغام ارائه,,,,,
http://www.snik.eu/ontology/bb/ApprovalToStrategicInformationManagementPlan,Approval to Strategic Information Management Plan,تصویب طرح مدیریت اطلاعات استراتژیک,,,,,
http://www.snik.eu/ontology/bb/SocialHistory,Social History,تاریخ اجتماعی,,,,,
http://www.snik.eu/ontology/bb/QualityOfStructures,Quality of Structures,کیفیت سازه ها,,,,,
http://www.snik.eu/ontology/bb/Drg,DRG,تشخیص گروه های مرتبط,,,Diagnosis Related Groups,,
http://www.snik.eu/ontology/bb/Atomicity,Atomicity,اتمی بودن,,,,,
http://www.snik.eu/ontology/bb/ApplicationServer,Application Server,سروربرنامه ,,,,,
http://www.snik.eu/ontology/bb/Laboratory,Laboratory,آزمایشگاه,,,,,
http://www.snik.eu/ontology/bb/DicomNetworkProtocol,DICOM Network Protocol,پروتکل شبکه DICOM,,,,,
http://www.snik.eu/ontology/bb/AdmissionDiagnosis,Admission Diagnosis,تشخیص پذیرش,,,,,
http://www.snik.eu/ontology/bb/ItInvestmentPlanning,IT Investment Planning,برنامه ریزی سرمایه گذاری فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/CreditAccounting,Credit Accounting,حسابداری اعتباری,,,,,
http://www.snik.eu/ontology/bb/AdministrativeGuideline,Administrative Guideline, راهنما اداری,,,,,
http://www.snik.eu/ontology/bb/HospitalRevenue,Hospital Revenue,در آمد بیمارستان,,,,,
http://www.snik.eu/ontology/bb/MedicalDocumentationSystem,Medical Documentation System|Medizinisches Dokumentationssystem,سیستم مستندات پزشکی,,,,,
http://www.snik.eu/ontology/bb/PersonalHealthRecord,Personal Health Record|PersÃ¶nliche Gesundheitsakte,پرونده شخصی سلامت,,,,,
http://www.snik.eu/ontology/bb/MultipleUsabilityOfData,Multiple Usability of Data|Multiple Verwendbarkeit von Daten,قابلیت استفاده چندگانه داده ها,,,,,
http://www.snik.eu/ontology/bb/ProblemSolving,Problem Solving,مشکل حل کردن,,,,,*
http://www.snik.eu/ontology/bb/PublishingAndPresentation,Publishing and Presentation,انتشار و ارائه,,,,,
http://www.snik.eu/ontology/bb/HomeCareInstitution,Home Care Institution,مؤسسه مراقبت خانگی,,,,,
http://www.snik.eu/ontology/bb/Service,Service,خدمت,,,,,
http://www.snik.eu/ontology/bb/StabilityOfApplicationComponents,Stability of Application Components,پایداری اجزای برنامه,,,,,
http://www.snik.eu/ontology/bb/OpenEHROntology,OpenEHR Ontology,OpenEHR اونتولوژی,,,,,
http://www.snik.eu/ontology/bb/Durability,Durability,دوام,,,,,
http://www.snik.eu/ontology/bb/StrategicHISDirecting,Strategic HIS Directing,هدایت استراتژیک HIS,,,,,
http://www.snik.eu/ontology/bb/AnalysisAndAssessmentOfTheCurrentHISState,Analysis and Assessment of the Current HIS State,تجزیه و تحلیل و ارزیابی چگونگی فعلی HIS,,,,,
http://www.snik.eu/ontology/bb/DBnStyle,DBn Style,DBn سبک,,,,,
http://www.snik.eu/ontology/bb/3LGM2Location,3LGMÂ² Location,3LGM ² مکان,,,,,
http://www.snik.eu/ontology/bb/CopperCable,Copper Cable,کابل مسی,,,,,
http://www.snik.eu/ontology/bb/GermanLaw,German Law,قانون آلمانی,,,,,
http://www.snik.eu/ontology/bb/LaboratoryResult,Laboratory Result,نتیجه آزمایشگاهی,,,,,
http://www.snik.eu/ontology/bb/StrategicInformationManagementPlan,IT-Rahmenkonzept|IT-Strategieplan|Strategic Information Management Plan,طرح مدیریت اطلاعات استراتژیک,,,,,
http://www.snik.eu/ontology/bb/KeyPerformanceIndicator,Kennzahl|Key Performance Indicator,شاخص عملکرد کلیدی,,,,,
http://www.snik.eu/ontology/bb/OrganizationalUnitModelingElement,Organizational Unit Modeling Element,عنصر مدل سازی واحد سازمانی,,,,,
http://www.snik.eu/ontology/bb/ManagementDepartment,Management Department,بخش مدیریت,,,,,
http://www.snik.eu/ontology/bb/QuantitativeQuestionnaire,Quantitative Questionnaire,پرسشنامه صفاتی,,,,,
http://www.snik.eu/ontology/bb/Decomposition,Decomposition,تجزیه,,,,,
http://www.snik.eu/ontology/bb/Bus,Bus,اتوبوس,,,,,
http://www.snik.eu/ontology/bb/TacticalHISDirecting,Tactical HIS Directing,هدایت تاکتیکی HIS,,,,,
http://www.snik.eu/ontology/bb/ResearchAndEducation,Research and Education,پژوهش و آموزش,,,,,
http://www.snik.eu/ontology/bb/Benchmarking,Benchmarking,معیار سنجش,,,,,
http://www.snik.eu/ontology/bb/Hospital,Hospital,بیمارستان,,,,,
http://www.snik.eu/ontology/bb/FinancialAccounting,Financial Accounting,حسابداری مالی,,,,,
http://www.snik.eu/ontology/bb/3LGM2DataTransmissionConnection,3LGMÂ² Data Transmission Connection,رابطه انتقال داده 3LGM²,,,,,
http://www.snik.eu/ontology/bb/InformationSystemMetamodel,Information System Metamodel,متا مدل سیستم اطلاعات,,,,,
http://www.snik.eu/ontology/bb/CodingOfProcedures,Coding of Procedures,کد گذاری جراحی,,,,,
http://www.snik.eu/ontology/bb/Standard,Standard,استاندارد,,,,,
http://www.snik.eu/ontology/bb/ServiceTransition,Service Transition,انتقال خدمات,,,,,
http://www.snik.eu/ontology/bb/NursingHistory,Nursing History,تاریخ پرستاری,,,,,
http://www.snik.eu/ontology/bb/OrganizationalInfrastructure,Organizational Infrastructure,زیرساخت سازمانی,,,,,
http://www.snik.eu/ontology/bb/Bill,Bill,صورتحساب,,,,,
http://www.snik.eu/ontology/bb/SystemSelection,System Selection,انتخاب سیستم,,,,,
http://www.snik.eu/ontology/bb/Soa,SOA,معماری سرویس گرا,,,service oriented architecture,,
http://www.snik.eu/ontology/bb/DatabaseSystem,Database System,سیستم پایگاه داده,,,,,
http://www.snik.eu/ontology/bb/Directing,Directing|Steuerung,هدایت,,,,,
http://www.snik.eu/ontology/bb/Case,Case,مورد,,,,,
http://www.snik.eu/ontology/bb/San,SAN,شبکه ذخیره سازی,,,Storage Area Network,,
http://www.snik.eu/ontology/bb/Laundry,Laundry,خشکشویی,,,,,
http://www.snik.eu/ontology/bb/3LGM2TransmittingMedium,3LGMÂ² Transmitting Medium,رسانه فرستنده 3LGM²,,,,,
http://www.snik.eu/ontology/bb/HealthCareRegulation,Health Care Regulation,مقررات مراقبت بهداشتی,,,,,
http://www.snik.eu/ontology/bb/InformationProcessingModel,Information Processing Model,مدل پردازش اطلاعات,,,,,
http://www.snik.eu/ontology/bb/EducationResearch,Bildung und Forschung|Research and Education Function,تحقیق و آموزش,,,,,
http://www.snik.eu/ontology/bb/DocumentStandard,Document Standard,استاندارد سند,,,,,
http://www.snik.eu/ontology/bb/ComputingCenter,Computing Center,مرکز فناوری,,,,,
http://www.snik.eu/ontology/bb/ObjectIdentity,Object Identity|ObjektidentitÃ¤t,هویت شی,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfAnOperation,Execution of an Operation,اجرای یک عمل,,,,,
http://www.snik.eu/ontology/bb/InformationAndKnowledgeLogistics,Information and Knowledge Logistics|Informations- und Wissenslogistik,تدارکات اطلاعات و دانش,,,,,
http://www.snik.eu/ontology/bb/NursingCarePlan,Nursing Care Plan,طرح مراقبت پرستاری,,,,,
http://www.snik.eu/ontology/bb/ReferentialIntegrity,Referential Integrity|Referenzielle IntegritÃ¤t,یکپارچگی ارجاعی,,,,,
http://www.snik.eu/ontology/bb/UseOfStrategicInformationManagementPlan,Use of Strategic Information Management Plan,استفاده از برنامه استراتژیک مدیریت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/AccessIntegration,Access Integration|Zugangsintegration,یکپارچه سازی دسترسی,,,,,
http://www.snik.eu/ontology/bb/SchedulingAndResourcePlanningWithTheMedicalServiceUnit,Scheduling and Resource Planning with the Medical Service Unit,برنامه ریزی و برنامه ریزی منابع با واحد خدمات پزشکی,,,,,
http://www.snik.eu/ontology/bb/ContinualServiceImprovement,Continual Service Improvement,بهبود مستمر خدمات,,,,,
http://www.snik.eu/ontology/bb/EffectivenessStudy,Effectiveness Study,مطالعه اثربخشی,,,,,
http://www.snik.eu/ontology/bb/Nanda,NANDA,NANDA,,,,,
http://www.snik.eu/ontology/bb/3LGM2SService,3LGMÂ²-S Service,3LGM²-S سرویس,,,,,
http://www.snik.eu/ontology/bb/HL7Version3Message,HL7 Version 3 Message,HL7 پیام نسخه 3,,,,,
http://www.snik.eu/ontology/bb/Inpatient,Inpatient,بستری,,,,بیمار بستری,
http://www.snik.eu/ontology/bb/ComputerBasedNursingForm,Computer-Based Nursing Form,فرم پرستاری مبتنی بر کامپیوتر,,,,,
http://www.snik.eu/ontology/bb/ISO9001,ISO 9001,ISO 9002,,,,,
http://www.snik.eu/ontology/bb/MakingABackup,Making a Backup,ساخت یک پشتیبان,,,,,
http://www.snik.eu/ontology/bb/DnsServer,DNS Server,DNS سرور,,,,,
http://www.snik.eu/ontology/bb/HL7ReferenceInformationModel,HL7 Reference Information Model,مدل مرجع اطلاعات HL7,,,,,
http://www.snik.eu/ontology/bb/ComputedTomography,Computed Tomography,توموگرافی کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/ProjectResult,Project Result,نتیجه پروژه,,,,,
http://www.snik.eu/ontology/bb/PatientBilling,Patient Billing,صورتحساب بیمار,,,,,
http://www.snik.eu/ontology/bb/FinancialResource,Financial Resource,منبع مالی,,,,,
http://www.snik.eu/ontology/bb/MaintainabilityOfSoftware,Maintainability of Software,قابلیت نگهداری نرم افزار,,,,,
http://www.snik.eu/ontology/bb/HumanResourceManagement,Human Resource Management,مدیریت منابع انسانی,,,,,
http://www.snik.eu/ontology/bb/RemoteFunctionCall,Remote Function Call,تماس از راه دور با عمل کرد,,,,,
http://www.snik.eu/ontology/bb/MedicalService,Medical Service,خدمات پزشکی,,,,,
http://www.snik.eu/ontology/bb/ProjectPlanning,Project Planning,برنامه ریزی پروژه,,,,,
http://www.snik.eu/ontology/bb/HospitalStrategy,Hospital Strategy,استراتژی بیمارستان,,,,,
http://www.snik.eu/ontology/bb/TokenRing,Token Ring,حلقه توکن,,,,,
http://www.snik.eu/ontology/bb/PetriNet,Petri Net,Petri شبکه,,,,,
http://www.snik.eu/ontology/bb/ReliabilityOfData,Reliability of Data,قابلیت اطمینان داده ها,,,,,
http://www.snik.eu/ontology/bb/Ring,Ring,حلقه,,,,,
http://www.snik.eu/ontology/bb/UserSurvey,User Survey,نظرسنجی کاربر,,,,,
http://www.snik.eu/ontology/bb/2PhaseCommitProtocol,2-Phase-Commit-Protocol,پروتکل دو مرحله ای,,,,,
http://www.snik.eu/ontology/bb/Confidentiality,Confidentiality,محرمانه بودن,,,,,
http://www.snik.eu/ontology/bb/ClinicalInformationSystem,Clinical Information System|Klinisches Informationssystem,سیستم اطلاعات بالینی,,,,,
http://www.snik.eu/ontology/bb/TechnicalModel,Technical Model|Technisches Modell,مدل فنی,,,,,
http://www.snik.eu/ontology/bb/3LGM2SoftwareProduct,3LGMÂ² Software Product,3LGMÂ² محصول نرم افزار,,,,,
http://www.snik.eu/ontology/bb/ComputerNetwork,Computer Network,شبکه ی کامپیوتری,,,,,
http://www.snik.eu/ontology/bb/Medication,Medication,دارو,,,,,
http://www.snik.eu/ontology/bb/Event,Event,رویداد,,,,,
http://www.snik.eu/ontology/bb/CtScanner,CT Scanner,CT اسکنر,,,,,
http://www.snik.eu/ontology/bb/MigrationPath,Migration Path,مسیر انتقال,,,,,
http://www.snik.eu/ontology/bb/FirstStudyDesign,First Study Design,طرح اولیه مطالعه,,,,,
http://www.snik.eu/ontology/bb/FaxMachine,Fax Machine,دستگاه فکس,,,,,
http://www.snik.eu/ontology/bb/MessageEncryption,Message Encryption,رمزگذاری پیام,,,,,
http://www.snik.eu/ontology/bb/InformationStorage,Information Storage,ذخیره سازی اطلاعات,,,,,
http://www.snik.eu/ontology/bb/PaperBasedPhysicalDataProcessingSystem,Paper-Based Physical Data Processing System,سیستم پردازش داده های فیزیکی مبتنی بر کاغذ,,,,,
http://www.snik.eu/ontology/bb/PhysicalDataProcessingSystem,Physical Data Processing System|Physisches Werkzeug,سیستم پردازش داده های فیزیکی,,,,,
http://www.snik.eu/ontology/bb/TherapeuticService,Therapeutic Service,خدمات درمانی,,,,,
http://www.snik.eu/ontology/bb/PerformantServer,performant server,سرور اجرایی,,,,,
http://www.snik.eu/ontology/bb/RedundantComputingCenter,redundant computing center,مرکز محاسبات بیرونی,,,,,
http://www.snik.eu/ontology/bb/InformationProcessing,Information Processing|Informationsverarbeitung,پردازش اطلاعات,,,,,
http://www.snik.eu/ontology/bb/MedicalCarePlanning,Medical Care Planning,برنامه ریزی مراقبت های پزشکی,,,,,
http://www.snik.eu/ontology/bb/A02,A02,A02,,,,,
http://www.snik.eu/ontology/bb/TheRegionalOrNationalCentricStrategy,The Regional- or National-Centric Strategy,استراتژی منطقه ای یا ملی,,,,,
http://www.snik.eu/ontology/bb/PerformanceOfLegalNotificationRequirements,Performance of Legal Notification Requirements,اجرای الزامات اخطار قانونی,,,,,
http://www.snik.eu/ontology/bb/QuantitativeEvaluationMethod,Quantitative Evaluation Method,روش ارزیابی کمی,,,,,
http://www.snik.eu/ontology/bb/EN12539,EN12539,EN12539,,,,,
http://www.snik.eu/ontology/bb/TabletPC,Tablet PC,رایانه لوحی,,,,,
http://www.snik.eu/ontology/bb/ItInvestmentJustification,IT Investment Justification,تصدیق سرمایه گذاری فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/ChangeManagement,Change Management,مدیریت تغییر,,,,,
http://www.snik.eu/ontology/bb/AvailabilityOfData,Availability of Data,در دسترس بودن داده ها,,,,,
http://www.snik.eu/ontology/bb/ErrorTolerance,Error Tolerance,تحمل خطا,,,,,
http://www.snik.eu/ontology/bb/Ihe,IHE,IHE,,,,,
http://www.snik.eu/ontology/bb/FieldStudy,Field Study,بررسی زمینه,,,,,
http://www.snik.eu/ontology/bb/CPnStyle,CPn Style,CPn سبک,,,,,
http://www.snik.eu/ontology/bb/InformationSystemImprovement,Information System Improvement,بهبود سیستم اطلاعات,,,,,
http://www.snik.eu/ontology/bb/MedicalInformatician,Medical Informatician,مهندس اطلاعات پزشکی,,,,,
http://www.snik.eu/ontology/bb/EconomicAnalysis,Economic Analysis,تحلیل اقتصادی,,,,,
http://www.snik.eu/ontology/bb/PersonalDigitalAssistant,Personal Digital Assistant,دستیار شخصی دیجیتال,,,,,
http://www.snik.eu/ontology/bb/InformationManagementGoal,Information Management Goal,هدف مدیریت اطلاعات,,,,,
http://www.snik.eu/ontology/bb/LogicalNetworkTopology,Logical Network Topology,توپولوژی منطقی شبکه,,,,,
http://www.snik.eu/ontology/bb/NursingGuideline,Nursing Guideline,دستورالعمل پرستاری,,,,,
http://www.snik.eu/ontology/bb/PatientState,Patient State,حال بیمار,,,,,
http://www.snik.eu/ontology/bb/ProjectResourceAllocation,Project Resource Allocation,اختصاص منابع پروژه,,,,,
http://www.snik.eu/ontology/bb/StrategicGoalOfTheNetwork,Strategic Goal of the Network,هدف استراتژیک شبکه,,,,,
http://www.snik.eu/ontology/bb/IhePatientDemographicsQuery,IHE Patient Demographics Query,پرسشنامه جمعیتی بیمار IHE,,,,,
http://www.snik.eu/ontology/bb/AvailablePhysicalDataProcessingSystem,available physical data processing system,سیستم پردازش داده های فیزیکی در دسترس,,,,,
http://www.snik.eu/ontology/bb/IheContentProfile,IHE Content Profile,مشخصات محتوا IHE,,,,,
http://www.snik.eu/ontology/bb/Tiff,TIFF,TIFF (فرمات برچسب دار فایل تصویر),,,,,
http://www.snik.eu/ontology/bb/Integrity,Integrity|IntegritÃ¤t,تمامیت,,,,,
http://www.snik.eu/ontology/bb/Linear,Linear,خطی,,,,,
http://www.snik.eu/ontology/bb/MonitoringTheProjectProgress,Monitoring the Project Progress,نظارت بر پیشرفت پروژه,,,,,
http://www.snik.eu/ontology/bb/DocumentArchivingSystem,Archivierungssystem|Document Archiving System,سیستم بایگانی سند,,,,,
http://www.snik.eu/ontology/bb/Administration,Administrative Function,عملکرد اداری,,,,,
http://www.snik.eu/ontology/bb/DatabaseStyle,Database Style,سبک پایگاه داده,,,,,
http://www.snik.eu/ontology/bb/Snomed,SNOMED,SNOMED (نام گذاری سیستمی پزشکی),,,,,
http://www.snik.eu/ontology/bb/ObjectClass,Object Class,کلاس شی,,,,,
http://www.snik.eu/ontology/bb/PrintedForm,Printed Form,فرم چاپ شده,,,,,
http://www.snik.eu/ontology/bb/HealthInsurancePortabilityAndAccountabilityAct,Health Insurance Portability and Accountability Act,قانون قابلیت انتقال و مسئولیت بیمه سلامت,,,,,
http://www.snik.eu/ontology/bb/Security,Security,امنیت,,,,,
http://www.snik.eu/ontology/bb/SoftwareErgonomics,Software Ergonomics|Software-Ergonomie,نرم افزار ارگونومی,,,,,
http://www.snik.eu/ontology/bb/Relative,relative,نسبی,,,,,
http://www.snik.eu/ontology/bb/LaboratoryInformationSystem,Labor-Informationssystem|Laboratory Information System,سیستم اطلاعاتی آزمایشگاه,سیستم مدیریت اطلاعات آزمایشگاه,,,,
http://www.snik.eu/ontology/bb/Stability,Stability,ثبات,,پایداری/استحکام,,,
http://www.snik.eu/ontology/bb/StrategicInformationManagementGoal,Strategic Information Management Goal,هدف مدیریت اطلاعات استراتژیک,,,,,
http://www.snik.eu/ontology/bb/OrganizationalUnit,Organisationseinheit|Organizational Unit,واحد سازمانی,,,,,
http://www.snik.eu/ontology/bb/QualityOfHISStructures,Quality of HIS Structures,کیفیت ساختارهای HIS,,,,,
http://www.snik.eu/ontology/bb/UmlClass,UML Class,کلاسUML,,,,,
http://www.snik.eu/ontology/bb/Car,Car,ماشین,خودرو,,,,
http://www.snik.eu/ontology/bb/CreationOfStrategicInformationManagementPlan,Creation of Strategic Information Management Plan,ایجاد برنامه مدیریت اطلاعات استراتژیک,,,,,
http://www.snik.eu/ontology/bb/AsynchronousCommunication, Asynchrone Kommunikation|Asynchronous Communication,ارتباط ناهمگام,,,,,
http://www.snik.eu/ontology/bb/HisStakeholder,HIS Interessenvertreter|HIS Stakeholder,ذینفعان HIS,,,,,
http://www.snik.eu/ontology/bb/DeductiveApproach,Deductive Approach,رویکرد قیاسی,,,,,
http://www.snik.eu/ontology/bb/Orm,ORM,ORM,,,,,
http://www.snik.eu/ontology/bb/PreparationOfAnOrder,Preparation of an Order,تدارک یک سفارش,,,,,
http://www.snik.eu/ontology/bb/HarmlessPhysicalDataProcessingSystem,harmless physical data processing system,سیستم پردازش داده های فیزیکی بی ضرر,,,,,
http://www.snik.eu/ontology/bb/QualityOfOutcome,ErgebnisqualitÃ¤t|Quality of Outcome,کیفیت نتیجه,کیفیت نتایج,,,,
http://www.snik.eu/ontology/bb/Transfer,Transfer,انتقال,,,,,
http://www.snik.eu/ontology/bb/SystemOfConcepts,System of Concepts,سیستم مفاهیم,,,,,
http://www.snik.eu/ontology/bb/WoundTreatment,Wound Treatment,درمان زخم,,,,,
http://www.snik.eu/ontology/bb/PatientCentricStrategy,Patient-Centric Strategy,استراتژی بیمار محور,,,,,
http://www.snik.eu/ontology/bb/QualityOfITServiceManagement,Quality of IT Service Management,کیفیت مدیریت خدمات فناوری اطلاعات,,,,,
http://www.snik.eu/ontology/bb/Catering,Catering,پذیرایی,,,,,
http://www.snik.eu/ontology/bb/Radiotherapy,Radiotherapy,رادیوتراپی,پرتو درمانی,,,,
http://www.snik.eu/ontology/bb/ReportToTheHospitalsBoardOfDirectors,Report to the Hospitalâ€™s Board of Directors,گزارش به هیئت مدیره بیمارستان,,,,,
http://www.snik.eu/ontology/bb/Activity,Activity|AktivitÃ¤t,فعالیت,,,,,
http://www.snik.eu/ontology/bb/TransinstitutionalHealthCareFunction,Transinstitutional Health Care Function,تابع مراقبت های بهداشتی میان سازمانی,,,,,
http://www.snik.eu/ontology/bb/1TierArchitecture,1-tier Architecture,معماری سطح 1,,,,,
http://www.snik.eu/ontology/bb/BusinessReferenceModel,Business Reference Model,مدل مرجع کسب و کار,,,,,
http://www.snik.eu/ontology/bb/Nurse,Nurse,پرستار,,,,,
http://www.snik.eu/ontology/bb/3LGM2B,3LGMÂ²-B,3LGMA2-B,,,,,
http://www.snik.eu/ontology/bb/GovernmentalAuthority,Governmental Authority,مقام دولتی,,,,,
http://www.snik.eu/ontology/bb/ClinicalTrial,Clinical Trial,آزمایشات بالینی,,,,,
http://www.snik.eu/ontology/bb/3LGM2ToolClass,3LGMÂ² Tool Class,کلاس ابزار 3LGM²,,,,,
http://www.snik.eu/ontology/bb/ManagementOfMedicalDevices,Management of Medical Devices,مدیریت تجهیزات پزشکی,,,,,
http://www.snik.eu/ontology/bb/Mesh,Mesh,شبکه,,,,,
http://www.snik.eu/ontology/bb/PatientIdentificationNumber,Patient Identification Number|Patienten-Identifikationsnummer,شماره شناسایی بیمار,کدشناسایی بیمار,,,,
http://www.snik.eu/ontology/bb/IntegratedHealthCareDeliverySystem,Integrated Health Care Delivery System|Integriertes Gesundheitsversorgungssystem,سیستم یکپارچه تحویل مراقبتهای بهداشتی,,,,,
http://www.snik.eu/ontology/bb/SupplyAndDisposalManagement,Supply and Disposal Management,مدیریت عرضه و دفع/تقاضا,,,,,
http://www.snik.eu/ontology/bb/PatientAdministrationDepartment,Patient Administration Department,بخش مدیریت بیمار,,,,,
http://www.snik.eu/ontology/bb/R01,R01,R01,,,,,
http://www.snik.eu/ontology/bb/SubInformationSystem,Sub-Information System|Sub-Informationssystem,زیرسیستم اطلاعاتی,,,,,
http://www.snik.eu/ontology/bb/PathologyInformationSystem,Pathology Information System,سیستم اطلاعاتی پاتولوژی,,,,,
http://www.snik.eu/ontology/bb/SoftwareVendor,Software Vendor,فروشنده نرم افزار,,,,,
http://www.snik.eu/ontology/bb/ThirdPartyFund,Third-Party Fund,صندوق شخص ثالث,پشتوانه مالی از شخص ثالث,,,,
http://www.snik.eu/ontology/bb/BloodBankManagementSystem,Blood Bank Management System,سیستم مدیریت بانک خون,,,,,
http://www.snik.eu/ontology/bb/TherapeuticProcedure,Therapeutic Procedure,روند درمانی,,,,,
http://www.snik.eu/ontology/bb/DirectiveForHISConstruction,Directive for HIS Construction,دستورالعمل برای ساخت HIS,دستور ساخت HIS,,,,
http://www.snik.eu/ontology/bb/FundingInstitution,Funding Institution,مؤسسه مالی,,,,,
http://www.snik.eu/ontology/bb/DialysisInformationSystem,Dialysis Information System,سیستم اطلاعاتی دیالیز,,,,,
http://www.snik.eu/ontology/bb/ClinicalChemistryReport,Clinical Chemistry Report,گزارش شیمی بالینی,,,,,
http://www.snik.eu/ontology/bb/AdoptionOfProjectResult,Adoption of Project Result,تصویب نتایج پروژه,,,,,
http://www.snik.eu/ontology/bb/HumanResource,Human Resource,منابع انسانی,,,,,
http://www.snik.eu/ontology/bb/IntregrationPlatform,Intregration Platform,پلتفرم یکپارچگی,پلتفرم یکپارچه سازی,,,,
http://www.snik.eu/ontology/bb/EventDrivenProcessChain,Event-Driven Process Chain,زنجیره فرآیند مبتنی بر رویداد,,,,,
http://www.snik.eu/ontology/bb/OrganizationOfHealthCare,Organization of Health Care,سازمان بهداشت و درمان,,,,,
http://www.snik.eu/ontology/bb/IntegrityOfData,Integrity of Data,یکپارچگی داده ها,,,,,
http://www.snik.eu/ontology/bb/MaintenanceCost,Maintenance Cost,هزینه نگهداری,هزینه تعمیر و نگهداری,,,,
http://www.snik.eu/ontology/bb/InpatientEHRCertification,Inpatient EHR Certification, گواهی بیمار بستری شده, گواهی پرونده الکترونیک بیمار بستری شده,,,,
http://www.snik.eu/ontology/bb/PatientAge,Patient Age,سن بیمار,,,,,
http://www.snik.eu/ontology/bb/QualityAssessment,Quality Assessment,ارزیابی کیفی,,,,,
http://www.snik.eu/ontology/bb/StableServer,stable server,سرور ثابت,,,,,
http://www.snik.eu/ontology/bb/SocialContact,Social Contact,رابطه اجتماعی,,,,,
http://www.snik.eu/ontology/bb/ApplicationPortfolio,Application Portfolio,نمونه کار برنامه,,,,,
http://www.snik.eu/ontology/bb/ShortTermHISPlanning,Short-Term HIS Planning,برنامه ریزی کوتاه مدت HIS,,,,,
http://www.snik.eu/ontology/bb/ExecutionOfClinicalTrialsAndExperiments,Execution of Clinical Trials and Experiments,اجرای مطالعات پزشکی و آزمایش ها,,,,,
http://www.snik.eu/ontology/bb/WoundCare,Wound Care,مراقبت زخم,,,,,
http://www.snik.eu/ontology/bb/AnnualHospitalOperatingCost,Annual Hospital Operating Cost,هزینه عملیاتی سالانه بیمارستان ,,,,,
http://www.snik.eu/ontology/bb/AdministrativeEntityType,Administrative Entity Type,انواع موجودیت اداری,,,,,
http://www.snik.eu/ontology/bb/Outpatient,Outpatient,بیمار سرپایی,,,,,
http://www.snik.eu/ontology/bb/BalancedNetwork,Balanced Network,شبکه متعادل,,,,,
http://www.snik.eu/ontology/bb/CostUnit,Cost Unit,واحد هزینه,,,,,
http://www.snik.eu/ontology/bb/IsoStandard,ISO Standard,استاندارد ISO,,,,,
http://www.snik.eu/ontology/bb/AdministrationOfBusinessTripsAndFurtherTraining,Administration of Business Trips and Further Training,اداره سفرهای تجاری و آموزش بیشتر,,,,,
http://www.snik.eu/ontology/bb/OpticalFiber,Optical Fiber,فیبر نوری,,,,,
http://www.snik.eu/ontology/bb/HospitalCost,Hospital Cost,هزینه های بیمارستان,,,,,
http://www.snik.eu/ontology/bb/CostAccounting,Cost Accounting,هزینه حسابداری ,,,,,
http://www.snik.eu/ontology/bb/OperationalInformationManagementGoal,Operational Information Management Goal,هدف مدیریت اطلاعات عملیاتی,,,,,
http://www.snik.eu/ontology/bb/ISOTR22222,ISO TR 22222,ISO TR 22222,,,,,
http://www.snik.eu/ontology/bb/InformationProcessingToolModelingElement,Information Processing Tool Modeling Element,عنصر مدل سازی ابزار پردازش اطلاعات,,,,,
http://www.snik.eu/ontology/bb/SoftwareDevelopment,Software Development,توسعه نرم افزار,,,,,
http://www.snik.eu/ontology/bb/3LGM2SProvidingInterface,3LGMÂ²-S Providing Interface,ارائه رابط 3LGM2-S,,,,,
http://www.snik.eu/ontology/bb/ComputerBasedInformationSystem,Computer-Based Information System,سیستم اطلاعاتی مبتنی بر کامپیوتر,,,,,
http://www.snik.eu/ontology/bb/WardPhysician,Ward Physician,پزشک بخش,,,,,
http://www.snik.eu/ontology/bb/Edifact,EDIFACT,EDIFACT,,,,,
http://www.snik.eu/ontology/bb/DB1Style,DB1 Style,DB1 Style,,,,,
